2009-02-02 18:20:02 Notice: Notice (8): Undefined index:  lektiko in [APP/views/provinces/index.ctp, line 13]
2009-02-02 18:20:02 Notice: Notice (8): Undefined index:  url in [APP/views/provinces/index.ctp, line 16]
2009-02-02 18:20:34 Notice: Notice (8): Undefined index:  lektiko in [APP/views/provinces/index.ctp, line 18]
2009-02-02 18:20:34 Notice: Notice (8): Undefined index:  url in [APP/views/provinces/index.ctp, line 21]
2009-02-02 18:35:24 Notice: Notice (8): Undefined variable: area in [APP/views/provinces/show.ctp, line 25]
2009-02-02 22:17:59 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 37]
2009-02-02 22:17:59 Notice: Notice (8): Undefined variable: id in [APP/controllers/b_areas_controller.php, line 26]
2009-02-02 22:17:59 Notice: Notice (8): Undefined variable: retVal in [APP/controllers/b_areas_controller.php, line 32]
2009-02-02 22:17:59 Notice: Notice (8): Undefined variable: areas in [APP/views/b_schools/get_from_dide_id.ctp, line 10]
2009-02-02 22:17:59 Notice: Notice (8): Undefined variable: schoolTypes in [APP/views/b_schools/get_from_dide_id.ctp, line 11]
2009-02-02 22:18:00 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 37]
2009-02-02 22:18:00 Notice: Notice (8): Undefined variable: id in [APP/controllers/b_areas_controller.php, line 26]
2009-02-02 22:18:00 Notice: Notice (8): Undefined variable: retVal in [APP/controllers/b_areas_controller.php, line 32]
2009-02-02 22:18:00 Notice: Notice (8): Undefined variable: areas in [APP/views/b_schools/get_from_dide_id.ctp, line 10]
2009-02-02 22:18:00 Notice: Notice (8): Undefined variable: schoolTypes in [APP/views/b_schools/get_from_dide_id.ctp, line 11]
2009-02-02 22:18:24 Notice: Notice (8): Undefined variable: areas in [APP/views/b_schools/get_from_dide_id.ctp, line 10]
2009-02-02 22:18:24 Notice: Notice (8): Undefined variable: schoolTypes in [APP/views/b_schools/get_from_dide_id.ctp, line 11]
